name,source,should_map_to_label,should_map_to_label_source,kingdom,phylum,order,family,genus,species,oval,lobed_brain,round,free_living,tubular,brain,phaceloid,massive,cup_coral,submassive,columnar,digitate,bushy,meandroid,arborescent,fleshy,plating,external_polyps,branching,corymbose,solitary,tabular,encrusting,foliose,dead,bleached,algae,background,anthropogenic,trash,transect,macroalgae,dark,class
acropora alive,coralscapes,,,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,False,False,False,False,False,False,False,False,False,False,False,not given,not given,False,not given,False,not given,False,True,not given,False,not given,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
acropora bleached,coralscapes,,,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,False,False,False,False,False,False,False,False,False,False,False,not given,not given,False,not given,False,not given,False,True,not given,False,not given,False,False,False,True,False,False,False,False,False,False,False,hexacorallia
acropora dead,coralscapes,,,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,False,False,False,False,False,False,False,False,False,False,False,not given,not given,False,not given,False,not given,False,True,not given,False,not given,False,False,True,False,False,False,False,False,False,False,False,hexacorallia
algae covered branching coral,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,False,not given,False,False,False,False,not given,not given,not given,False,not given,not given,not given,False,True,not given,False,not given,False,False,False,False,True,False,False,False,False,not given,False,hexacorallia
algae covered lobophylliidae,coralscapes,,,animalia,cnidaria,scleractinia,lobophylliidae,not_given,not_given,False,True,False,not given,False,not given,not given,True,False,True,not given,False,False,True,False,not given,not given,False,False,False,False,False,False,False,False,False,True,False,False,False,False,not given,False,hexacorallia
algae covered massive coral,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,False,not given,False,not given,False,not given,False,True,False,True,not given,False,not given,not given,False,not given,not given,False,False,False,False,not given,False,not given,False,False,True,False,False,False,False,not given,False,hexacorallia
algae covered brain coral,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,False,not given,False,not given,False,True,False,True,False,True,not given,False,False,not given,False,not given,not given,False,False,False,False,False,False,False,False,False,True,False,False,False,False,not given,False,hexacorallia
algae covered pocillopora,coralscapes,,,animalia,cnidaria,scleractinia,pocilloporidae,pocillopora,not_given,False,False,False,False,False,False,False,False,False,False,False,not given,not given,False,not given,False,False,False,True,not given,False,False,False,False,False,False,True,False,False,False,False,not given,False,hexacorallia
algae covered porites,coralscapes,,,animalia,cnidaria,scleractinia,poritidae,porites,not_given,False,not given,False,not given,False,not given,False,True,False,not given,not given,False,not given,False,False,not given,not given,False,False,False,False,False,not given,not given,False,False,True,False,False,False,False,not given,False,hexacorallia
algae covered substrate,coralscapes,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,not given,False,none
algae covered table acropora,coralscapes,,,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,False,False,False,False,False,False,False,False,False,False,False,not given,False,False,not given,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,not given,False,hexacorallia
anemone,coralscapes,,,animalia,cnidaria,actiniaria,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,False,False,hexacorallia
background,coralscapes,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,True,False,False,False,False,False,none
branching coral alive,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,False,False,False,False,False,False,not given,not given,not given,False,not given,not given,not given,False,True,not given,False,not given,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
branching coral bleached,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,False,False,False,False,False,False,not given,not given,not given,False,not given,not given,not given,False,True,not given,False,not given,False,False,False,True,False,False,False,False,False,False,False,hexacorallia
branching dead,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,False,False,False,False,False,False,not given,not given,not given,False,not given,not given,not given,False,True,not given,False,not given,False,False,True,False,False,False,False,False,False,False,False,hexacorallia
giant clam,coralscapes,,,animalia,mollusca,cardiida,cardiidae,tridacna,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,bivalvia
acanthaster planci,coralscapes,,,animalia,echinodermata,valvatida,acanthasteridae,acanthaster,acanthaster_planci,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,asteroidea
dark,coralscapes,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,True,none
dead giant clam,coralscapes,,,animalia,mollusca,cardiida,cardiidae,tridacna,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,bivalvia
encrusting coral alive,coralscapes,,,animalia,cnidaria,not_given,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,False,False,hexacorallia
feather worm,coralscapes,sabellidae,mermaid,animalia,annelida,sabellida,sabellidae,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,polychaeta
fish,coralscapes,,,animalia,chordata,not_given,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,not_given
galaxea alive,coralscapes,,,animalia,cnidaria,scleractinia,euphylliidae,galaxea,not_given,False,not given,False,not given,False,not given,False,True,False,True,not given,False,not given,not given,False,not given,not given,False,False,False,False,False,True,not given,False,False,False,False,False,False,False,False,False,hexacorallia
galaxea bleached,coralscapes,,,animalia,cnidaria,scleractinia,euphylliidae,galaxea,not_given,False,not given,False,not given,False,not given,False,True,False,True,not given,False,not given,not given,False,not given,not given,False,False,False,False,False,True,not given,False,True,False,False,False,False,False,False,False,hexacorallia
galaxea dead,coralscapes,,,animalia,cnidaria,scleractinia,euphylliidae,galaxea,not_given,False,not given,False,not given,False,not given,False,True,False,True,not given,False,not given,not given,False,not given,not given,False,False,False,False,False,True,not given,True,False,False,False,False,False,False,False,False,hexacorallia
hard coral alive,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,False,not given,False,not given,False,not given,not given,not given,not given,not given,not given,not given,not given,False,not given,not given,False,not given,not given,not given,False,False,False,False,False,False,False,False,False,hexacorallia
hard coral bleached,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,False,not given,False,not given,False,not given,not given,not given,not given,not given,not given,not given,not given,False,not given,not given,False,not given,not given,not given,False,True,False,False,False,False,False,False,False,hexacorallia
hard coral dead,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,False,not given,False,not given,False,not given,not given,not given,not given,not given,not given,not given,not given,False,not given,not given,False,not given,not given,not given,True,False,False,False,False,False,False,False,False,hexacorallia
hard substrate,coralscapes,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
human,coralscapes,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,True,False,False,False,False,none
human-made structure,coralscapes,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,True,False,False,False,False,none
leather coral alive,coralscapes,,,animalia,cnidaria,malacalcyonacea,sarcophytidae,sarcophyton,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,False,False,octocorallia
